구장명,주소
오토허브 장 A면,경기도 용인시 기흥구 영덕동 21
오토허브 장 B면,경기도 용인시 기흥구 영덕동 21
염기훈 주니어 장 야외A면,경기도 오산시 외삼미동 300
클럽hj 장 A면(야외),경기도 화성시 남양읍 북양리 347
클럽hj 장 B면(실내),경기도 화성시 남양읍 북양리 347
제이원 스포츠클럽 장(실내) A면,경기도 안산시 상록구 월피동 436-13 3층
제이원 스포츠클럽 장(실내) B면,경기도 안산시 상록구 월피동 436-13 3층
제이원 장 장지점 A면(실내),경기도 광주시 장지동 184
퍼스트 풋볼 아카데미 장(실내),경기도 광명시 철산동 415
수원삼성 블루윙즈 영통점 장(야외),경기도 화성시 진안동 136
수원 베스트FC 장(실내),경기도 화성시 반정동 328-1
mom 축구클럽 장,경기도 수원시 영통구 망포동 234-49
김병지 축구클럽 장 별내점(실내),경기도 남양주시 별내동 1006-2 진영 N 타워 9층 김병지축구클럽
안양 아레나 실내장,경기도 안양시 동안구 평촌동 93-1 인덕원대림아파트 상가동 지하 1층 (안양시 동안구 흥안대로 440)
다이나믹 클럽 2층(실내),경기도 광주시 태전동 428-15 (고불로186번길 16-23) 2층
다이나믹 클럽 1층(실내),경기도 광주시 태전동 428-15 (고불로186번길 16-23) 1층
포올 FC 장(실내) 지음프라자점,경기도 부천시 옥길동 745-7 지음프라자 8층
토평980 파크 A면(야외),경기도 구리시 토평동 980 6층
용이FC 장(실내),경기도 평택시 용이동 599-2 유진빌딩 2층
송탄블루윙즈 야외 장,경기도 평택시 모곡동 442-7
스토피아 그린호크 아레나(야외),경기도 성남시 수정구 동판교로308
힐링 장,경기도 구리시 인창동 127 농수산물시장 청과B동 4층(옥탑)
하남유소년축구클럽 장 (실내),경기도 하남시 풍산동 507-3 메인프라자 5층
하랑스포츠아카데미 장(실내),경기도 남양주시 평내동 579-2 강남프라자 10층
한국축구센터 실내장,경기도 양주시 장흥면 삼하리 389-3
수원삼성 별내블루윙즈 장 A면(실내),경기도 남양주시 별내동 653-7
HN유나이티드 장 야외구장,경기도 화성시 향남읍 구문천리 348-3
풋볼아이 장(실내),경기도 시흥시 대야동 536 3층
일산 로꼬 스타디움 고양터미널점 블랙구장,경기도 고양시 일산동구 백석동 1242 5층 야외옥상
경기 연세FC 장(실내),경기도 광명시 노온사동 330
고양 프레이즈 화정점 실내장,경기도 고양시 덕양구 화정동 1000-3 네이버타운 9층
동탄아이 유소년 장 블루구장,경기도 화성시 목동 245-3 6층
메이저 풋볼스킬 1호점 실내구장,경기도 용인시 수지구 죽전로 232 2층
OK클럽(용인점),경기도 용인시 기흥구 지곡동 348-6
남양주 파워유소년 장 (야외),경기도 남양주시 진접읍 금강로 1521번길 56
남양주JK 장 (오남점),경기도 남양주시 오남읍 오남리 694  2층
판교축구클럽 야외장,경기도 성남시 분당구 두밀로 12
위례 킥킥 (Kick Kick) 실내장,경기도 성남시 수정구 위례광장로300 5층
JJ 풋볼클럽 장(역북점),경기도 용인시 처인구 역북동 750-1 3층
광명 쌈바 장,경기도 광명시 오리로 537-9
화성블루윙즈(수원대점) 야외 장 A면,경기도 화성시 융건로 66
화성블루윙즈(수원대점) 실내 장 B면,경기도 화성시 융건로 66 2층
부천주니어FC 실내 장,경기도 부천시 도당동 175-1 3층
용인 풋볼마스터아카데미 실내 장,경기도 용인시 기흥구 고매로 42-24
파주주니어 장 야외1구장,경기도 파주시 문산읍 임진리 102
파주주니어 장 야외2구장,경기도 파주시 문산읍 임진리 102
오산KT 장 A면,경기도 오산시 부산동 471
오산KT 장 B면,경기도 오산시 부산동 471
수원시티FC 장(호매실점) 실내,경기도 화성시 매송면 천천리 35-46
성남챌린져 풋볼클럽(실내),경기도 성남시 중원구 여수동 403 3층
경기광주 블루윙즈 야외장,경기도 광주시 오포읍 마루들길35번길 30
양주 클로버 스포츠클럽 장,경기도 양주시 부흥로 2038-47
화성 테크니카 실내 장,경기도 화성시 경기동로 437
디라이프 풋볼파크(구 제이엠 다산신도시점)(실내),경기도 구리시 사노동 296-4
상동FC 실내 장,경기도 부천시 도약로 25 3층
일산H 클럽 야외A+B면,경기도 고양시 일산서구 덕산로 257-4
일산H 클럽 실내면,경기도 고양시 일산서구 덕산로 257-4
세븐축구 실내클럽(경기광주점),경기도 광주시 오포읍 오포로171번길 17-19
용인 라온utd 실내장,경기도 용인시 수지구 신봉동 23-1 4층
수원 EK파크(실내),경기도 수원시 영통구 매영로248번길 22 3층
부천 마스터FC 실내장,경기도 부천시 경인로 117번길 10 삼성프라자 2층
