,구장명,주소,시,구,냉난방,5vs5,7vs7,6vs6,팀조끼,4vs4,트레이닝 존,공대여,3vs3,8vs8,냉방,풋살화,11vs11,9vs9,샤워실,주차
222,인천 GOD 풋살스타디움 야외구장,인천시 서구 길주로 44번길 13,인천시,서구,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1
223,인천풋볼파크 풋살장(야외),인천시 서구 가좌동 151-37 옥상층,인천시,서구,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
224,파주 JM 풋볼파크 실내풋살장,경기도 파주시 조리읍 대원리 257 7동,경기도,파주시,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
225,풋볼아카데미(선진풋살 1구장),경기도 고양시 덕양구 동산동 225-17,경기도,고양시,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
226,운정 싸커스토리 실내풋살장,경기도 파주시 야당동 466-24,경기도,파주시,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
227,세븐풋살클럽 A면,경기도 고양시 덕양구 행신동 247-8,경기도,고양시,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
228,세븐풋살클럽 B면,경기도 고양시 덕양구 행신동 247-8,경기도,고양시,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1
229,고양 일산 팬텀실내풋살장 A면,경기도 고양시 일산동구 성석동 1075-125 1층,경기도,고양시,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
230,고양 일산 팬텀실내풋살장 B면,경기도 고양시 일산동구 성석동 1075-125 2층,경기도,고양시,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
231,배다골테마파크 풋살장 1구장,경기도 고양시 덕양구 화정동 7-4,경기도,고양시,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
232,배다골테마파크 풋살장 2구장,경기도 고양시 덕양구 화정동 7-4,경기도,고양시,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1
233,누캄프 풋살장(Nou Camp) A면,경기도 고양시 덕양구 동산동 4-8 (그린테니스장 아래),경기도,고양시,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
234,누캄프 풋살장(Nou Camp) B면,경기도 고양시 덕양구 동산동 4-8 (그린테니스장 아래),경기도,고양시,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
235,스코어888 김병지FC 별내 풋살파크,경기도 남양주시 별내동 945,경기도,남양주시,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,SFC 스포츠클럽 A면,경기도 화성시 배양동 69-537,경기도,화성시,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
237,다농 THE K 풋살장 A면,경기도 안산시 상록구 월피동 445-1 다농마트 11층,경기도,안산시,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
238,다농 THE K 풋살장 B면,경기도 안산시 상록구 월피동 445-1 다농마트 11층,경기도,안산시,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
239,오산 풋살파크 A면,경기도 오산시 원동 92-2,경기도,오산시,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
240,스위프트 스포츠 아카데미 풋살장,경기도 안산시 단원구 고잔동 에이스골드옥상 772-2,경기도,안산시,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
241,더풋살파크 풋살장,경기도 용인시 수지구 풍덕천동 29-7 5층 옥상,경기도,용인시,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
242,고양 휘슬 풋살장,경기도 고양시 덕양구 용두동 432-393,경기도,고양시,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
243,화전 J풋살장(야외),경기도 고양시 덕양구 화전동 427-1,경기도,고양시,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
244,고양 스타케이지 실내풋살장,경기도 고양시 신원동 626-1 2층,경기도,고양시,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
245,HM 풋살파크 일산점 A면,경기도 고양시 일산동구 장항동 755 홈플러스 옥상,경기도,고양시,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
246,KGL 체육교실 풋살장 A면,경기도 화성시 동탄면 금곡로 211-89,경기도,화성시,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1
247,다원 풋살장,경기도 남양주시 금곡동 430-11,경기도,남양주시,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
248,코리아레포츠 실내풋살장,경기도 고양시 일산서구 덕이동 1300-3,경기도,고양시,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
249,안양 Master 풋살파크 동안구점 A면(실내),경기도 안양시 동안구 비산동 1030-5 지층,경기도,안양시,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
250,김포 팬텀풋살장 실외,경기도 김포시 풍무동 674-6,경기도,김포시,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
251,김포 팬텀풋살장 실내,경기도 김포시 풍무동 674-6,경기도,김포시,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
252,광명 경희FC 제 1 실내풋살장,경기도 광명시 노온사동 224-2,경기도,광명시,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
